,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.35
Refraction index,1.33
Voxel size,116 nm x 116 nm x 116 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,1306
,
Theoretical FWHM in XY,190 nm
Theoratical FWHM in Z,642 nm
,
HeatMap Statistics,
FWHM min,285 nm +/- 4 nm
FWHMmin / Theoretical FWHMxy,1.504 +/- 0.019
FWHM max,315 nm +/- 7 nm
FWHMmax / Theoretical FWHMxy,1.66 +/- 0.04
FWHM z,857 nm +/- 44 nm
FWHMz / Theoretical FWHMz,1.334 +/- 0.068
z0,+/- 2.35 um
(z0 - mean(z0)) / FWHMz,+/- 3.658
Asymmetry,0.917 +/- 0.024
Theta,-33.1 deg +/- 8.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
1,55.468,13.491,1.298,0.308,0.337,0.858,-12.62,0.914,-41.601,0.977,0.977,1,6011,5995.131,214.44,data_traditional
2,56.412,-18.927,1.274,0.293,0.338,0.818,-12.644,0.868,-32.373,0.976,0.999,1,6757,7079.113,211.96,data_traditional
3,8.81,10.855,1.514,0.294,0.364,0.895,-12.403,0.808,-21.497,0.988,0.99,1,7780,8374.147,193.939,data_traditional
4,53.733,-18.372,1.386,0.287,0.333,0.819,-12.532,0.861,-35.731,0.97,0.999,1,7379,7705.845,251.065,data_traditional
5,-10.62,-6.992,1.554,0.284,0.343,0.886,-12.364,0.828,-26.576,0.978,0.999,1,6812,7703.387,243.518,data_traditional
6,-32.732,-14.918,1.548,0.288,0.364,0.86,-12.37,0.791,-19.033,0.98,0.999,1,6245,7186.057,205.814,data_traditional
7,-22.948,22.323,5.741,0.272,0.374,0.749,-8.177,0.726,-25.552,0.988,0.998,1,9281,11203.383,280.97,data_traditional
8,-50.961,11.49,1.663,0.295,0.388,0.814,-12.255,0.76,-14.028,0.987,0.998,1,4307,4923.924,153.313,data_traditional
9,-33.945,4.97,1.655,0.291,0.371,0.866,-12.263,0.784,-23.861,0.983,0.998,1,5011,5351.815,169.864,data_traditional
10,-9.624,-1.005,1.698,0.286,0.344,0.79,-12.219,0.833,-25.395,0.982,0.994,1,9236,8948.944,217.207,data_traditional
11,-43.152,-1.714,1.676,0.294,0.382,0.813,-12.242,0.769,-15.069,0.986,0.991,1,5439,7475.538,186.997,data_traditional
12,-43.54,-24.173,1.619,0.291,0.381,0.948,-12.298,0.762,-8.065,0.978,0.998,1,4921,5234.443,189.422,data_traditional
13,45.262,19.057,1.82,0.294,0.322,0.772,-12.098,0.914,-42.774,0.983,0.999,1,10651,10426.916,269.493,data_traditional
14,-26.935,-13.618,1.761,0.295,0.36,0.836,-12.157,0.818,-17.335,0.982,0.997,1,5677,6743.307,197.365,data_traditional
15,50.729,-2.002,1.801,0.289,0.33,0.84,-12.117,0.875,-30.016,0.977,0.979,1,7133,6828.564,214.121,data_traditional
16,28.341,-18.503,1.996,0.29,0.34,0.835,-11.921,0.853,-38.647,0.978,0.999,1,12765,15298.598,337.664,data_traditional
17,-4.847,-18.995,1.928,0.297,0.335,0.791,-11.99,0.888,-24.55,0.983,0.999,1,9487,10020.871,217.837,data_traditional
18,-50.799,17.533,1.994,0.292,0.385,0.834,-11.924,0.758,-15.681,0.986,0.998,1,5374,5352.364,162.7,data_traditional
19,24.605,15.741,2.174,0.288,0.336,0.799,-11.744,0.857,-36.565,0.984,0.996,1,12932,12920.724,244.84,data_traditional
20,21.837,-1.452,2.109,0.285,0.327,0.841,-11.809,0.872,-30.835,0.98,0.999,1,12134,14690.631,309.144,data_traditional
21,-9.602,-1.004,1.56,0.286,0.351,1.026,-12.358,0.815,-26.68,0.972,0.974,0,4936,7520.849,349.524,data_traditional
22,22.347,-6.709,2.122,0.291,0.334,0.756,-11.796,0.871,-41.013,0.982,0.999,1,13859,15298.717,275.486,data_traditional
23,-16.871,-24.166,2.057,0.296,0.376,0.822,-11.861,0.787,-35.988,0.987,0.993,1,8099,10393.897,216.792,data_traditional
24,30.849,-25.024,2.287,0.284,0.334,0.699,-11.631,0.85,-32.209,0.973,0.995,1,12953,12044.449,308.559,data_traditional
25,-52.09,4.715,2.41,0.291,0.39,0.843,-11.508,0.744,-12.926,0.988,0.986,1,6763,7021.939,169.046,data_traditional
26,-39.624,-13.183,2.351,0.29,0.365,0.814,-11.567,0.794,-14.251,0.978,0.999,1,5492,6212.196,200.839,data_traditional
